answer,in_text,in_image,in_speaker,other
0,0.108,0.028,0.528,0.337
1,0.26,0.056,0.305,0.382
0,0.324,0.055,0.25,0.373
0,0.113,0.021,0.551,0.317
0,0.335,0.099,0.391,0.178
0,0.04,0.025,0.496,0.441
1,0.238,0.058,0.048,0.657
0,0.171,0.128,0.009,0.693
1,0.308,0.175,0.046,0.473
1,0.209,0.323,0.028,0.442
1,0.166,0.049,0.01,0.778
0,0.128,0.088,0.103,0.684
1,0.237,0.205,0.158,0.401
0,0.209,0.319,0.028,0.446
0,0.186,0.158,0.033,0.625
0,0.151,0.086,0.036,0.729
1,0.153,0.126,0.058,0.666
0,0.106,0.215,0.024,0.658
0,0.02,0.006,0.049,0.927
1,0.196,0.11,0.029,0.667
1,0.072,0.025,0.081,0.824
0,0.34,0.093,0.056,0.513
0,0.236,0.171,0.057,0.538
1,0.108,0.336,0.099,0.459
0,0.189,0.095,0.013,0.705
1,0.177,0.168,0.059,0.598
1,0.258,0.081,0.084,0.579
0,0.303,0.097,0.099,0.503
0,0.179,0.114,0.379,0.33
1,0.258,0.071,0.242,0.431
1,0.211,0.024,0.16,0.607
0,0.095,0.037,0.165,0.705
1,0.224,0.04,0.24,0.498
1,0.312,0.036,0.187,0.467
1,0.141,0.072,0.336,0.453
1,0.094,0.027,0.134,0.747
1,0.24,0.111,0.285,0.366
0,0.108,0.009,0.149,0.736
1,0.184,0.037,0.206,0.575
1,0.275,0.037,0.093,0.597
1,0.049,0.006,0.153,0.794
1,0.134,0.049,0.25,0.568
1,0.281,0.015,0.294,0.412
0,0.158,0.062,0.459,0.323
1,0.322,0.033,0.112,0.535
0,0.265,0.069,0.129,0.54
1,0.087,0.037,0.448,0.43
0,0.091,0.054,0.137,0.719
1,0.074,0.019,0.633,0.277
0,0.163,0.072,0.151,0.617
1,0.045,0.016,0.178,0.763
1,0.06,0.035,0.139,0.768
1,0.147,0.007,0.139,0.709
1,0.043,0.024,0.58,0.355
1,0.062,0.014,0.571,0.355
1,0.069,0.004,0.407,0.522
1,0.099,0.037,0.485,0.381
1,0.037,0.012,0.317,0.635
0,0.011,0.008,0.299,0.683
1,0.117,0.014,0.402,0.469
1,0.038,0.009,0.513,0.442
0,0.069,0.082,0.099,0.752
1,0.015,0.007,0.164,0.815
1,0.03,0.018,0.784,0.17
0,0.061,0.011,0.082,0.848
0,0.179,0.046,0.258,0.519
0,0.141,0.01,0.214,0.637
1,0.222,0.05,0.137,0.593
0,0.081,0.015,0.319,0.587
1,0.137,0.094,0.189,0.582
1,0.117,0.021,0.084,0.781
1,0.095,0.026,0.147,0.734
1,0.167,0.016,0.069,0.749
1,0.107,0.028,0.178,0.689
1,0.107,0.019,0.153,0.723
0,0.148,0.005,0.046,0.803
1,0.206,0.08,0.235,0.481
1,0.06,0.064,0.204,0.675
1,0.212,0.125,0.048,0.617
1,0.153,0.045,0.061,0.743
1,0.128,0.027,0.206,0.641
1,0.069,0.045,0.238,0.649
0,0.121,0.013,0.269,0.599
0,0.107,0.094,0.351,0.45
0,0.161,0.03,0.217,0.595
0,0.13,0.025,0.127,0.72
1,0.198,0.016,0.103,0.686
0,0.37,0.039,0.012,0.581
1,0.113,0.114,0.269,0.505
1,0.183,0.086,0.414,0.319
1,0.304,0.034,0.199,0.466
1,0.059,0.025,0.447,0.472
1,0.125,0.034,0.221,0.622
1,0.144,0.091,0.392,0.375
1,0.148,0.044,0.392,0.418
1,0.166,0.067,0.298,0.472
1,0.243,0.109,0.291,0.359
0,0.03,0.036,0.347,0.589
1,0.08,0.055,0.413,0.454
1,0.144,0.043,0.433,0.382
1,0.064,0.034,0.38,0.524
1,0.387,0.013,0.228,0.374
1,0.39,0.088,0.236,0.289
1,0.042,0.036,0.643,0.281
1,0.151,0.016,0.356,0.479
1,0.385,0.075,0.227,0.316
1,0.357,0.058,0.071,0.516
1,0.248,0.257,0.32,0.176
0,0.232,0.233,0.305,0.233
1,0.124,0.14,0.567,0.171
0,0.277,0.093,0.129,0.503
0,0.033,0.01,0.246,0.713
1,0.242,0.059,0.121,0.581
0,0.144,0.191,0.516,0.151
1,0.147,0.092,0.338,0.425
0,0.238,0.071,0.189,0.504
1,0.164,0.074,0.286,0.478
0,0.01,0.041,0.432,0.519
0,0.135,0.139,0.155,0.572
0,0.206,0.017,0.112,0.666
1,0.099,0.032,0.202,0.669
0,0.068,0.02,0.619,0.295
0,0.102,0.087,0.484,0.329
1,0.041,0.089,0.704,0.168
0,0.144,0.009,0.133,0.715
0,0.507,0.056,0.066,0.373
